College name,Location,Established,Affliation,Coursed offred,Coursed duretion,Admition criteria,Entrance Exam,Hostel avilibiliry,Hostelfee,Course fee,Placement,Facilities,Contact information,Website
"Government Polytechnic College, Bhilwara","Bhilwara, Rajasthan, India",2006,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-1482-242946, Email: gpcb@rajasthan.gov.in",http://gpcbhilwara.ac.in
"Government Polytechnic College, Bhilwara","Bhilwara, Rajasthan, India",2006,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-1482-242946, Email: gpcb@rajasthan.gov.in",http://gpcbhilwara.ac.in
"Government Polytechnic College, Bhilwara","Bhilwara, Rajasthan, India",2006,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-1482-242946, Email: gpcb@rajasthan.gov.in",http://gpcbhilwara.ac.in
"Government Polytechnic College, Bundi","Bundi, Rajasthan, India",2008,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-7432-242663, Email: gpcbundi@rajasthan.gov.in",http://gpcbundi.ac.in
"Government Polytechnic College, Bundi","Bundi, Rajasthan, India",2008,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-7432-242663, Email: gpcbundi@rajasthan.gov.in",http://gpcbundi.ac.in
"Government Polytechnic College, Bundi","Bundi, Rajasthan, India",2008,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-7432-242663, Email: gpcbundi@rajasthan.gov.in",http://gpcbundi.ac.in
"Government Polytechnic College, Bundi","Bundi, Rajasthan, India",2008,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-7432-242663, Email: gpcbundi@rajasthan.gov.in",http://gpcbundi.ac.in
"Government Polytechnic College, Bundi","Bundi, Rajasthan, India",2008,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-7432-242663, Email: gpcbundi@rajasthan.gov.in",http://gpcbundi.ac.in
"Government Polytechnic College, Churu","Churu, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-1562-220527, Email: gpcchuru@rajasthan.gov.in",http://gpcchuru.ac.in
"Government Polytechnic College, Churu","Churu, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-1562-220527, Email: gpcchuru@rajasthan.gov.in",http://gpcchuru.ac.in
"Government Polytechnic College, Churu","Churu, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-1562-220527, Email: gpcchuru@rajasthan.gov.in",http://gpcchuru.ac.in
"Government Polytechnic College, Churu","Churu, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-1562-220527, Email: gpcchuru@rajasthan.gov.in",http://gpcchuru.ac.in
"Government Polytechnic College, Churu","Churu, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-1562-220527, Email: gpcchuru@rajasthan.gov.in",http://gpcchuru.ac.in
"Rajesh Pilot Government Polytechnic College, Dausa","Dausa, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-1436-220110, Email: gpcd@rajasthan.gov.in",http://gpcd.co.in
"Rajesh Pilot Government Polytechnic College, Dausa","Dausa, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-1436-220110, Email: gpcd@rajasthan.gov.in",http://gpcd.co.in
"Rajesh Pilot Government Polytechnic College, Dausa","Dausa, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-1436-220110, Email: gpcd@rajasthan.gov.in",http://gpcd.co.in
"Rajesh Pilot Government Polytechnic College, Dausa","Dausa, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-1436-220110, Email: gpcd@rajasthan.gov.in",http://gpcd.co.in
"Rajesh Pilot Government Polytechnic College, Dausa","Dausa, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-1436-220110, Email: gpcd@rajasthan.gov.in",http://gpcd.co.in
"Rajesh Pilot Government Polytechnic College, Dholpur","Dholpur, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-5644-220369, Email: gpcdholpur@rajasthan.gov.in",http://gpcdholpur.ac.in
"Rajesh Pilot Government Polytechnic College, Dholpur","Dholpur, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-5644-220369, Email: gpcdholpur@rajasthan.gov.in",http://gpcdholpur.ac.in
"Rajesh Pilot Government Polytechnic College, Dholpur","Dholpur, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-5644-220369, Email: gpcdholpur@rajasthan.gov.in",http://gpcdholpur.ac.in
"Rajesh Pilot Government Polytechnic College, Dholpur","Dholpur, Rajasthan, India",2010,"Board of Technical Education, Rajasthan",#NAME?,3 years,"Merit-based, through the Rajasthan Polytechnic Admission",None (Admission based on 10th-grade marks),Yes,"Approx. ₹3,000-₹5,000 per semester","Approx. ₹10,000-₹15,000 per year",Campus placements available; companies visit annually,"Library, Laboratories, Workshops, Hostel, Canteen, Sports","Phone: +91-5644-220369, Email: gpcdholpur@rajasthan.gov.in",http://gpcdholpur.ac.in
